model,feature,importance,abs_importance,importance_type
bayesian_dynamic,unemployment_3m_delta,0.10802057151532908,0.10802057151532908,coefficient
bayesian_dynamic,unemployment,-0.10171158577253911,0.10171158577253911,coefficient
bayesian_dynamic,fedfunds,0.08804332765149284,0.08804332765149284,coefficient
bayesian_dynamic,nfci,0.08539535846857317,0.08539535846857317,coefficient
bayesian_dynamic,credit_spread,0.06448747274812108,0.06448747274812108,coefficient
bayesian_dynamic,inflation_yoy,0.060243325759317165,0.060243325759317165,coefficient
bayesian_dynamic,payrolls_yoy,-0.05840154136832114,0.05840154136832114,coefficient
bayesian_dynamic,yield_spread_3m_delta,0.03673648126202082,0.03673648126202082,coefficient
bayesian_dynamic,yield_spread,0.028347695317791854,0.028347695317791854,coefficient
bayesian_dynamic,ff_mkt_excess,-0.023677306471275143,0.023677306471275143,coefficient
bayesian_dynamic,ff_size_factor,-0.011520542254885748,0.011520542254885748,coefficient
bayesian_dynamic,vix_level,-0.005026964868419475,0.005026964868419475,coefficient
bayesian_dynamic,ff_value_factor,-0.0016911500262166944,0.0016911500262166944,coefficient
bayesian_dynamic,industrial_prod_yoy,-0.0016745410682619515,0.0016745410682619515,coefficient
hist_gb,payrolls_yoy,0.06736571559274039,0.06736571559274039,permutation_brier
hist_gb,vix_level,0.05410506959939657,0.05410506959939657,permutation_brier
hist_gb,unemployment,0.03201028339460191,0.03201028339460191,permutation_brier
hist_gb,fedfunds,0.022372981997257887,0.022372981997257887,permutation_brier
hist_gb,inflation_yoy,0.016789820538566414,0.016789820538566414,permutation_brier
hist_gb,nfci,0.014386770639321898,0.014386770639321898,permutation_brier
hist_gb,yield_spread,0.013928317706441673,0.013928317706441673,permutation_brier
hist_gb,ff_value_factor,0.006674987121357603,0.006674987121357603,permutation_brier
hist_gb,industrial_prod_yoy,0.002668042085848659,0.002668042085848659,permutation_brier
hist_gb,unemployment_3m_delta,0.0018440808791177002,0.0018440808791177002,permutation_brier
hist_gb,yield_spread_3m_delta,-0.0015605490966304348,0.0015605490966304348,permutation_brier
hist_gb,credit_spread,-0.0009072115438272868,0.0009072115438272868,permutation_brier
hist_gb,ff_mkt_excess,0.0008031354493473801,0.0008031354493473801,permutation_brier
hist_gb,ff_size_factor,0.0001498648143575601,0.0001498648143575601,permutation_brier
logistic,unemployment,-1.8893674440422885,1.8893674440422885,coefficient
logistic,unemployment_3m_delta,1.8264060860736713,1.8264060860736713,coefficient
logistic,nfci,1.1883163238201975,1.1883163238201975,coefficient
logistic,yield_spread_3m_delta,0.6137585848039161,0.6137585848039161,coefficient
logistic,fedfunds,0.5990245879489776,0.5990245879489776,coefficient
logistic,payrolls_yoy,-0.5687566945869055,0.5687566945869055,coefficient
logistic,inflation_yoy,0.37010919030694417,0.37010919030694417,coefficient
logistic,industrial_prod_yoy,-0.33967575335659494,0.33967575335659494,coefficient
logistic,ff_mkt_excess,-0.33345565458186155,0.33345565458186155,coefficient
logistic,ff_value_factor,-0.2702247832113227,0.2702247832113227,coefficient
logistic,ff_size_factor,-0.16674080625970353,0.16674080625970353,coefficient
logistic,credit_spread,0.1493921189519405,0.1493921189519405,coefficient
logistic,yield_spread,-0.09339738798293934,0.09339738798293934,coefficient
logistic,vix_level,0.03250248042169147,0.03250248042169147,coefficient
ngboost,unemployment,0.021250000000000012,0.021250000000000012,permutation_mse
ngboost,nfci,-0.015416666666666665,0.015416666666666665,permutation_mse
ngboost,unemployment_3m_delta,0.00666666666666667,0.00666666666666667,permutation_mse
ngboost,vix_level,0.004166666666666666,0.004166666666666666,permutation_mse
ngboost,industrial_prod_yoy,-0.003749999999999999,0.003749999999999999,permutation_mse
ngboost,inflation_yoy,0.0008333333333333332,0.0008333333333333332,permutation_mse
ngboost,yield_spread_3m_delta,0.0004166666666666666,0.0004166666666666666,permutation_mse
ngboost,yield_spread,0.0,0.0,permutation_mse
ngboost,fedfunds,0.0,0.0,permutation_mse
ngboost,payrolls_yoy,0.0,0.0,permutation_mse
ngboost,credit_spread,0.0,0.0,permutation_mse
ngboost,ff_mkt_excess,0.0,0.0,permutation_mse
ngboost,ff_size_factor,0.0,0.0,permutation_mse
ngboost,ff_value_factor,0.0,0.0,permutation_mse
